ID,Place (x),Knowledge (y),Action (z),ETName
2117,0.1875,-0.25,0.5625,Indigenous Justice
2118,-0.1875,0.0625,0.5,Earth Justice
2119,-0.1875,0.1875,-0.125,Ecoscience
2120,-0.625,0.5,0.375,Ecoscience
2121,0.25,0.5,0.75,Science Policy
2122,-0.375,0.0625,0.4375,Earth Justice
2123,-0.0625,-0.0625,-0.125,Other
2124,-0.375,-0.5625,0.5625,Indigenous Justice
2126,-0.375,-0.3125,0.6875,Earth Justice
2127,-0.0625,0,0.1875,Other
2128,0.125,0.125,0.375,Science Policy
2129,-0.375,-0.4375,-0.1875,Ecospirituality
2130,-0.375,0.125,0.125,Ecoscience
2131,0,0.1875,0.125,Science Policy
2132,-0.5,0.1875,-0.25,Small Green Steps
2133,0.0625,-0.5,0.25,Indigenous Justice
2134,0,-0.4375,0.4375,Indigenous Justice
2135,-0.3125,-0.1875,-0.5625,Small Green Steps
2136,0.1875,0.625,0.8125,Science Policy
2140,-0.375,-0.3125,0.6875,Earth Justice
2141,-0.4375,-0.5,0.1875,Ecospirituality
2143,-0.5,0.25,0.5,Earth Justice
2147,-0.25,0.3125,0.625,Science Policy
2148,-0.6875,0.125,0.1875,Earth Justice
2149,-0.25,-0.1875,0.125,Ecospirituality
2151,0.0625,0.1875,0.75,Science Policy
2152,-0.375,-0.0625,0,Ecospirituality
2153,-0.1875,-0.3125,-0.1875,Ecospirituality
2154,0,-0.3125,0.375,Indigenous Justice
2155,-0.625,0,0.375,Earth Justice
2156,-0.4375,-0.625,0.75,Indigenous Justice
2157,-0.4375,-0.375,0.75,Earth Justice
2158,-0.4375,-0.4375,-0.125,Ecospirituality
2159,-0.5,-0.375,-0.125,Ecospirituality
2160,-0.375,-0.25,0.3125,Earth Justice
2161,-0.375,0,0.6875,Earth Justice
2162,-0.5625,0,-0.0625,Small Green Steps
2164,-0.3125,-0.1875,-0.125,Ecospirituality
2165,0.1875,0.125,0.875,Science Policy
2166,-0.875,-0.5625,-0.1875,Ecospirituality
2167,-0.625,-0.4375,0.8125,Earth Justice
2168,-0.6875,-0.0625,0.3125,Earth Justice
2169,-0.5625,-0.3125,0.625,Earth Justice
2170,-0.6875,-0.25,0.4375,Earth Justice
2171,0.125,0.25,0.5,Science Policy
2172,0.25,-0.125,0.25,Indigenous Justice
2173,0.0625,-0.25,0.5625,Indigenous Justice
2174,-0.1875,-0.625,0.4375,Indigenous Justice
2175,-0.1875,-0.1875,-0.25,Small Green Steps
2176,-0.1875,-0.0625,0.8125,Earth Justice
2177,0.0625,-0.125,0.625,Indigenous Justice
2178,-0.25,0,0.1875,Earth Justice
2179,0.0625,-0.1875,-0.0625,Other
2180,0.0625,0.25,0.125,Science Policy
2181,-0.25,0.5,0.8125,Science Policy
2183,-0.75,-0.25,0.1875,Ecospirituality
2184,-0.375,-0.0625,-0.0625,Ecospirituality
2185,-0.0625,-0.1875,-0.1875,Other
2186,0,-0.125,-0.1875,Other
2187,0.0625,0.125,0.125,Other
2188,0.5625,-0.5,0.1875,Indigenous Justice
2190,-0.3125,0.625,1,Science Policy
2191,-0.5625,-0.625,-0.6875,Small Green Steps
2192,0,0.25,0.1875,Science Policy
2193,-0.3125,0.1875,0.625,Earth Justice
2195,-0.0625,-0.3125,-0.3125,Ecospirituality
2196,-0.3125,-0.6875,-0.375,Ecospirituality
2197,-0.1875,-0.625,0.125,Ecospirituality
2198,-0.4375,-0.375,-0.25,Ecospirituality
2199,-0.6875,-0.1875,1,Earth Justice
2200,-0.625,-0.0625,-0.0625,Ecospirituality
2201,-0.625,0.125,0.4375,Earth Justice
2202,-0.375,-0.125,0.5,Earth Justice
2203,-0.0625,0.0625,0.3125,Earth Justice
2204,-0.75,-0.4375,-0.25,Ecospirituality
2205,-0.125,0.1875,0.75,Science Policy
2206,-0.5,-0.375,-0.125,Ecospirituality
2207,-0.4375,-0.125,0.5625,Earth Justice
2208,-0.25,-0.375,0.75,Indigenous Justice
2209,-0.125,-0.3125,0.25,Indigenous Justice
2210,-0.25,-0.1875,0.125,Ecospirituality
2211,-0.125,-0.5625,0.75,Indigenous Justice
2212,-0.375,-0.25,0.3125,Earth Justice
2213,-0.6875,-0.375,0.1875,Ecospirituality
2214,-0.3125,-0.3125,0.0625,Ecospirituality
2215,-0.1875,-0.1875,0.5,Earth Justice
2216,0,-0.1875,-0.125,Other
2217,-0.5,-0.4375,0.125,Ecospirituality
2218,0.0625,-0.0625,0.5,Indigenous Justice
2219,-0.375,-0.625,0.0625,Ecospirituality
2220,-0.75,-0.375,0,Ecospirituality
2221,-0.5,-0.3125,-0.0625,Ecospirituality
2222,-0.625,-0.1875,0.0625,Ecospirituality
2223,-0.625,-0.4375,0.5625,Earth Justice
2224,-0.5,-0.1875,-0.4375,Small Green Steps
2225,-0.375,0.125,0.0625,Ecoscience
2226,-0.25,-0.3125,0.1875,Ecospirituality
2227,-0.125,0.0625,-0.0625,Other
2228,-0.0625,-0.3125,0.0625,Ecospirituality
2229,-0.625,-0.375,-0.375,Ecospirituality
2230,-0.0625,-0.3125,0.375,Indigenous Justice
2231,-0.3125,-0.25,0.25,Ecospirituality
2232,-0.375,-0.375,0.3125,Ecospirituality
2233,-0.375,-0.0625,0.625,Earth Justice
2234,-0.375,0.1875,0.75,Earth Justice
2235,-0.3125,-0.0625,-0.4375,Small Green Steps
2236,-0.0625,-0.375,0.3125,Indigenous Justice
2237,-0.125,0.125,0,Other
2238,-0.25,0.125,0.5625,Earth Justice
2239,-0.0625,-0.0625,0.25,Earth Justice
2240,-0.5625,-0.1875,0.25,Earth Justice
2242,0,0.0625,-0.0625,Other
2243,0,-0.1875,0.4375,Indigenous Justice
2244,-0.125,-0.125,-0.0625,Other
2245,-0.3125,-0.25,0.4375,Earth Justice
2247,-0.5,-0.0625,-0.125,Small Green Steps
2248,-0.4375,-0.25,0,Ecospirituality
2250,-0.4375,-0.1875,0.5,Earth Justice
2251,0,-0.1875,-0.1875,Other
2252,-0.25,0.0625,0.0625,Ecoscience
2254,-0.3125,-0.1875,-0.125,Ecospirituality
2255,0.0625,-0.125,-0.1875,Other
2257,0.25,0.3125,-0.1875,Science for Humanity
2258,-0.5,-0.5625,0.4375,Ecospirituality
2259,-0.375,0.25,0.5,Earth Justice
2260,-0.125,-0.5,0.75,Indigenous Justice
2261,-0.4375,-0.4375,0.3125,Ecospirituality
2262,0,-0.125,-0.3125,Small Green Steps
2265,0.4375,0.0625,0.375,Science for Humanity
2266,0.1875,0.8125,0.375,Science Policy
2267,0.125,0.375,0.75,Science Policy
2268,-0.4375,-0.1875,0.9375,Earth Justice
2269,-0.5,-0.4375,0.5,Earth Justice
2270,-0.0625,0.25,0.375,Science Policy
2271,-0.4375,-0.375,0.8125,Earth Justice
2272,0,-0.125,0.0625,Other
2273,-0.3125,-0.25,0.5625,Earth Justice
2274,-0.25,0,0.4375,Earth Justice
2275,-0.625,-0.0625,0.3125,Earth Justice
2277,-0.75,-0.5,-0.125,Ecospirituality
2278,-0.75,0,0,Ecoscience
2279,0.125,-0.25,0.25,Indigenous Justice
2282,0.3125,0.125,-0.5,Science for Humanity
2283,-0.6875,-0.125,0.25,Earth Justice
2284,-0.5625,0.125,0.6875,Earth Justice
2285,-0.1875,-0.8125,0.375,Indigenous Justice
2286,-0.1875,-0.375,0.875,Indigenous Justice
2287,-0.3125,-0.25,0.625,Earth Justice
2289,-0.0625,-0.375,0.125,Indigenous Justice
2290,-0.375,-0.25,-0.125,Ecospirituality
2291,0,0,0.6875,Earth Justice
2292,-0.4375,-0.25,0.1875,Ecospirituality
2294,-0.3125,0.1875,0.1875,Ecoscience
2295,-0.1875,0,-0.25,Small Green Steps
2296,0.0625,-0.125,0.8125,Indigenous Justice
2297,-0.375,-0.3125,0.25,Ecospirituality
2299,-0.25,0,0.3125,Earth Justice
2300,-0.5625,-0.3125,0.25,Ecospirituality
2301,-0.125,-0.5625,0.6875,Indigenous Justice
2303,-0.0625,-0.0625,0.625,Earth Justice
2306,-0.5,-0.4375,-0.25,Ecospirituality
2307,-0.5,0.125,0.875,Earth Justice
2308,-0.375,0.125,0.0625,Ecoscience
2310,-0.125,0.3125,-0.3125,Ecoscience
2311,-0.3125,0.0625,0.3125,Earth Justice
2312,-0.0625,-0.0625,0.1875,Other
2316,-0.125,-0.0625,0.125,Other
2317,-0.3125,-0.125,0.1875,Earth Justice
2318,-0.25,0.0625,-0.1875,Small Green Steps
2319,-0.1875,-0.125,0.8125,Earth Justice
2321,-0.1875,-0.375,-0.3125,Ecospirituality
2322,-0.125,-0.6875,-0.625,Ecospirituality
2323,-0.125,-0.125,-0.375,Small Green Steps
2324,-0.125,-0.1875,0.125,Ecospirituality
2326,-0.0625,0.0625,0.0625,Other
2327,-0.8125,-0.1875,-0.5625,Small Green Steps
2328,-0.4375,0.25,-0.1875,Ecoscience
2329,-0.1875,0.4375,0.6875,Science Policy
2331,-0.8125,-0.4375,0.25,Ecospirituality
2332,-0.0625,0.1875,0.0625,Other
2333,-0.3125,-0.0625,-0.125,Small Green Steps
2334,-0.6875,0.0625,0,Ecoscience
2335,-0.1875,0.125,0.6875,Earth Justice
2337,-0.125,-0.1875,0.0625,Ecospirituality
2338,-0.5625,-0.5625,0.25,Ecospirituality
2339,0.3125,0.125,0.4375,Science Policy
2340,0.0625,0.5625,0.5625,Science Policy
2341,-0.375,-0.375,0.1875,Ecospirituality
2342,-0.625,-0.25,0.3125,Earth Justice
2343,-0.25,0.125,0.0625,Ecoscience
2346,-0.3125,-0.125,0.4375,Earth Justice
2347,-0.4375,-0.0625,0.1875,Earth Justice
2348,-0.1875,0.125,0.375,Earth Justice
2349,-0.5625,-0.25,0.4375,Earth Justice
2350,-0.5,-0.4375,0.5625,Earth Justice
2351,-0.375,-0.0625,0.625,Earth Justice
2352,-0.25,0,0.5625,Earth Justice
2353,-0.375,0,-0.125,Small Green Steps
2354,0.5,-0.25,0.8125,Indigenous Justice
2355,-0.5,-0.3125,-0.375,Small Green Steps
2356,-0.5,-0.4375,0.3125,Ecospirituality
2357,-0.4375,0.0625,-0.0625,Ecoscience
2358,-0.4375,0,0,Ecoscience
2359,-0.3125,0,-0.125,Small Green Steps
2360,-0.5625,0.625,0.0625,Ecoscience
2361,-0.625,-0.125,0.5,Earth Justice
2362,-0.1875,-0.1875,0.625,Earth Justice
2363,-0.375,-0.0625,0.6875,Earth Justice
2364,-0.5625,-0.375,0.625,Earth Justice
2365,-0.4375,-0.3125,0.5,Earth Justice
2366,-0.3125,-0.1875,1,Earth Justice
2367,-0.5625,-0.4375,0.625,Earth Justice
2368,-0.375,0.0625,0.5625,Earth Justice
2369,-0.3125,0.0625,0.3125,Earth Justice
2370,-0.5625,0,0.8125,Earth Justice
2371,-0.1875,0.75,0.6875,Science Policy
2372,-0.25,0.4375,0.625,Science Policy
2374,-0.3125,-0.0625,-0.0625,Ecospirituality
2375,-0.375,0.1875,0.1875,Ecoscience
2376,-0.0625,0.5,0.4375,Science Policy
2377,0.0625,0.1875,0.125,Science Policy
2378,0,-0.1875,0.8125,Indigenous Justice
2379,-0.5,0.3125,0.125,Ecoscience
2380,-0.375,0.0625,-0.0625,Ecoscience
2381,-0.125,-0.125,0.4375,Earth Justice
2382,-0.3125,0.1875,0.625,Earth Justice
2383,-0.1875,-0.5,0.25,Indigenous Justice
2384,-0.25,0.3125,0.125,Ecoscience
2385,-0.625,0.0625,0.3125,Earth Justice
2386,-0.375,0,0.4375,Earth Justice
2387,-0.8125,-0.3125,0.5625,Earth Justice
2388,0.5,-0.1875,0.9375,Indigenous Justice
2389,-0.125,-0.5,0,Ecospirituality
2390,-0.125,-0.1875,-0.375,Small Green Steps
2391,-0.5,0.0625,0.5625,Earth Justice
2392,0.0625,-0.0625,0.4375,Indigenous Justice
2393,-0.5625,-0.1875,0.3125,Earth Justice
2394,0.1875,-0.1875,-0.125,Other
2395,-0.5625,0.3125,0.5625,Earth Justice
2396,-0.125,0.3125,0.125,Ecoscience
2398,-0.3125,-0.1875,0.3125,Earth Justice
2399,-0.125,0.4375,-0.125,Ecoscience
2401,-0.3125,-0.1875,0.125,Ecospirituality
2402,-0.375,-0.25,0.8125,Earth Justice
2403,-0.125,-0.0625,-0.1875,Small Green Steps
2404,-0.625,-0.5625,0.875,Earth Justice
2405,-0.375,0.125,0.4375,Earth Justice
2406,0.1875,-0.1875,0.5625,Indigenous Justice
2407,-0.3125,0.0625,0.5,Earth Justice
2408,-0.125,0.25,0.625,Science Policy
2409,-0.6875,-0.625,-0.375,Ecospirituality
2410,-0.1875,-0.1875,0,Ecospirituality
2412,-0.3125,-0.75,0.5,Indigenous Justice
2413,-0.5625,-0.25,0,Ecospirituality
2414,-0.5,0.0625,0.625,Earth Justice
2415,-0.5,-0.1875,-0.6875,Small Green Steps
2416,-0.5,-0.375,0.1875,Ecospirituality
2417,-0.1875,0.375,-0.125,Ecoscience
2418,-0.1875,0,0,Other
2419,-0.3125,-0.25,0.25,Ecospirituality
2420,-0.3125,-0.25,0.125,Ecospirituality
2422,-0.3125,-0.375,0.6875,Indigenous Justice
2423,0,-0.1875,0.125,Indigenous Justice
2425,-0.0625,-0.0625,0.5,Earth Justice
2426,-0.1875,-0.25,0.25,Indigenous Justice
2427,-0.5625,-0.3125,0.5625,Earth Justice
2428,-0.8125,-0.5625,-0.0625,Ecospirituality
2429,-0.625,-0.125,0.375,Earth Justice
2430,-0.3125,-0.0625,0.4375,Earth Justice
2431,-0.375,-0.75,0.5,Indigenous Justice
2432,-0.3125,-0.125,0.25,Earth Justice
2433,-0.1875,-0.0625,0.9375,Earth Justice
2434,-0.1875,-0.125,-0.0625,Ecospirituality
2435,-0.25,-0.5,0.75,Indigenous Justice
2436,0,-0.1875,0.375,Indigenous Justice
2437,-0.625,0.375,0,Ecoscience
2438,-0.4375,-0.1875,0.375,Earth Justice
2440,-0.0625,-0.125,0.3125,Indigenous Justice
2441,-0.75,0.375,0.5625,Earth Justice
2443,-0.375,0.125,0.5,Earth Justice
2445,-0.125,0,0,Other
2446,-0.375,-0.125,0,Ecospirituality
2447,-0.6875,-0.3125,0.8125,Earth Justice
2449,-0.375,0.125,0.3125,Earth Justice
2450,-0.5,0.0625,0.875,Earth Justice
2451,-0.625,-0.625,0.9375,Earth Justice
2452,-0.5,-0.25,0.3125,Earth Justice
2453,-0.3125,-0.25,0.3125,Earth Justice
2454,-0.25,-0.4375,0,Ecospirituality
2456,-0.375,-0.375,-0.25,Ecospirituality
2457,-0.1875,0.125,0.75,Earth Justice
2458,-0.6875,-0.5,0.0625,Ecospirituality
2459,-0.0625,0,0.75,Earth Justice
2460,-0.125,0.3125,0.0625,Ecoscience
2461,-0.25,-0.375,0.4375,Indigenous Justice
2462,-0.3125,0.25,0.0625,Ecoscience
2463,-0.375,0.1875,-0.0625,Ecoscience
2464,-0.125,-0.25,-0.125,Ecospirituality
2465,-0.5625,0.0625,0.4375,Earth Justice
2466,0.0625,-0.0625,0.3125,Indigenous Justice
2467,-0.6875,-0.1875,-0.0625,Ecospirituality
2468,-0.125,-0.25,0.0625,Ecospirituality
2469,-0.25,-0.5625,-0.1875,Ecospirituality
2470,-0.4375,-0.5,0.375,Ecospirituality
2471,-0.25,-0.625,0.4375,Indigenous Justice
2472,-0.1875,-0.125,0.375,Earth Justice
2473,-0.25,0.1875,0.875,Earth Justice
2475,-0.375,-0.1875,0.6875,Earth Justice
2476,-0.375,-0.1875,0.6875,Earth Justice
2477,-0.25,-0.375,0.9375,Indigenous Justice
2478,-0.375,-0.1875,0.3125,Earth Justice
2479,-0.1875,-0.125,-0.125,Ecospirituality
2480,-0.125,-0.25,-0.4375,Small Green Steps
2481,-0.625,-0.375,0.8125,Earth Justice
2482,-0.8125,-0.1875,0.5,Earth Justice
2483,-0.3125,-0.1875,-0.0625,Ecospirituality
2485,-0.3125,-0.1875,0.5625,Earth Justice
2486,-0.4375,-0.25,0.25,Ecospirituality
2487,-0.1875,0,0.625,Earth Justice
2488,-0.125,-0.3125,-0.0625,Ecospirituality
2489,-0.5625,-0.1875,0.75,Earth Justice
2490,-0.1875,-0.25,0,Ecospirituality
2491,0.25,0.25,0.0625,Science for Humanity
2492,-0.3125,-0.0625,0.5,Earth Justice
2493,0.125,-0.125,0.3125,Indigenous Justice
2494,-0.3125,-0.8125,0.625,Indigenous Justice
2495,-0.125,0.375,0.5625,Science Policy
2496,-0.1875,0,0.1875,Earth Justice
2497,-0.0625,-0.4375,0.125,Indigenous Justice
2498,-0.1875,-0.25,0.4375,Indigenous Justice
2499,-0.5,-0.5625,0.625,Indigenous Justice
2505,-0.0625,-0.375,0.5625,Indigenous Justice
2506,-0.5625,-0.3125,0.4375,Earth Justice
2507,-0.375,0.3125,0.9375,Earth Justice
2508,0,-0.125,-0.3125,Small Green Steps
2510,-0.4375,-0.375,0.4375,Earth Justice
2511,-0.4375,-0.25,0.5625,Earth Justice
2513,-0.25,-0.1875,-0.0625,Ecospirituality
2516,-0.375,0.4375,0.9375,Science Policy
2517,-0.75,-0.375,0.5625,Earth Justice
2518,-0.5,-0.4375,0.6875,Earth Justice
2519,-0.1875,0.25,0.4375,Science Policy
2520,-0.125,0.0625,0.6875,Earth Justice
2521,-0.5,0.25,0.3125,Earth Justice
2522,0.1875,0.1875,-0.5,Science for Humanity
2523,0.0625,-0.0625,0,Other
2524,-0.625,-0.4375,0.25,Ecospirituality
2528,-0.25,-0.1875,-0.5625,Small Green Steps
2529,-0.1875,-0.0625,0.4375,Earth Justice
2530,-0.375,-0.5625,0.0625,Ecospirituality
2531,-0.125,0.1875,0.1875,Science Policy
2533,0.625,1,1,Science Policy
2534,-0.0625,0.0625,-0.4375,Small Green Steps
2535,0.5,1,0.125,Science for Humanity
2536,0.125,0.875,0.8125,Science Policy
2537,0.25,0.875,0,Science for Humanity
2538,-0.0625,0.75,0.125,Science Policy
2539,-0.25,0.6875,0.5,Science Policy
2540,0.125,0.8125,0.625,Science Policy
2541,0.875,0.5,0.375,Science for Humanity
2542,-0.4375,0.75,0.25,Ecoscience
2543,-0.5,-0.25,0.875,Earth Justice
2544,0.0625,-0.375,-0.25,Ecospirituality
2545,-0.0625,0.25,0.25,Science Policy
2546,-0.1875,0.1875,0.1875,Ecoscience
2547,-0.125,0,-0.1875,Small Green Steps
2548,0,0.1875,-0.125,Other
2549,-0.5,0.1875,0.1875,Ecoscience
2550,0.25,0.1875,0.5,Science Policy
2551,-0.25,-0.0625,-0.3125,Small Green Steps
2552,-0.5625,-0.1875,-0.125,Ecospirituality
2553,0.5625,1,0.3125,Science for Humanity
2554,-0.1875,0.3125,0.6875,Science Policy
2555,0,-0.1875,-0.3125,Small Green Steps
2556,-0.5625,0.25,0.5,Earth Justice
2557,0.1875,-0.1875,-0.0625,Other
2558,-0.25,-0.125,-0.3125,Small Green Steps
2559,0,0.1875,0.25,Science Policy
2560,-0.0625,-0.0625,0.0625,Other
2561,-0.125,0.375,0.375,Science Policy
2562,0,0.1875,0.625,Science Policy
2563,-0.3125,0.4375,-0.375,Ecoscience
2564,0,0.6875,1,Science Policy
2565,0.125,0.1875,-0.25,Science for Humanity
2567,0.25,0.5625,-0.0625,Science for Humanity
2568,-0.125,-0.25,-0.25,Ecospirituality
2569,-0.0625,0.1875,-0.1875,Other
2571,-0.25,0,0,Other
2572,-0.125,-0.1875,-0.5,Small Green Steps
2573,0.0625,0.125,-0.5,Small Green Steps
2574,-0.0625,0.125,-0.1875,Other
2575,-0.0625,0.125,0.0625,Other
2577,0.375,0.75,0.3125,Science for Humanity
2578,-0.0625,0,0.0625,Other
2579,-0.3125,0,0.625,Earth Justice
2580,-0.5,-0.6875,-0.0625,Ecospirituality
2581,-0.1875,0.125,-0.125,Ecoscience
2582,0,0,0.25,Other
2583,-0.0625,0.25,0.5625,Science Policy
2584,-0.4375,-0.0625,-0.5625,Small Green Steps
2585,0,0,-0.3125,Small Green Steps
2586,-0.5625,-0.25,0.5625,Earth Justice
2587,-0.5625,0,0.3125,Earth Justice
2588,-0.1875,0.1875,-0.1875,Ecoscience
2589,-0.125,0.3125,-0.4375,Small Green Steps
2590,0.125,0.4375,-0.625,Science for Humanity
2591,-0.4375,0.1875,-0.1875,Ecoscience
2592,-0.25,0.0625,-0.125,Small Green Steps
2593,0,0.125,0.6875,Science Policy
2594,-0.375,-0.0625,-0.125,Small Green Steps
2595,0.375,-0.5625,-0.625,Other
2596,0.0625,0.0625,-0.3125,Other
2597,-0.125,0.125,0.125,Other
2598,-0.4375,0,-0.4375,Small Green Steps
2599,-0.6875,-0.0625,-0.0625,Ecospirituality
2600,-0.3125,-0.0625,0.1875,Earth Justice
2601,-0.0625,0.0625,-0.1875,Other
2602,-0.4375,-0.0625,-0.1875,Small Green Steps
2603,0,-0.125,-0.375,Small Green Steps
2607,-0.0625,0.125,-0.125,Other
2608,0.1875,-0.0625,0.5625,Indigenous Justice
2609,0.125,0.1875,0.875,Science Policy
2610,-0.4375,-0.625,0.75,Indigenous Justice
2611,-0.3125,0.5,0.625,Science Policy
2612,-0.375,-0.25,1,Earth Justice
2613,0,-0.25,0,Other
2614,-0.125,-0.6875,-0.4375,Ecospirituality
2615,0.0625,-0.3125,0.125,Indigenous Justice
2616,-0.625,0.3125,-0.125,Ecoscience
2618,0.125,0.375,0.25,Science Policy
2619,-0.3125,0.3125,-0.0625,Ecoscience
2620,-0.3125,0.3125,-0.0625,Ecoscience
2621,-0.25,-0.625,-0.1875,Ecospirituality
2622,-0.25,-0.3125,0.3125,Indigenous Justice
2623,-0.0625,-0.3125,0.375,Indigenous Justice
2624,-0.375,0.1875,-0.375,Small Green Steps
2625,-0.5625,-0.375,0.8125,Earth Justice
2626,-0.6875,-0.1875,-0.1875,Ecospirituality
2627,-0.5,-0.5,-0.125,Ecospirituality
2628,-0.0625,0.0625,0.25,Earth Justice
2629,-0.4375,-0.3125,0.4375,Earth Justice
2630,-0.125,0,0.5,Earth Justice
2631,-0.375,-0.0625,0.5,Earth Justice
2632,-0.5625,0,-0.375,Small Green Steps
2634,-0.5,0.25,0.3125,Earth Justice
2635,-0.5625,0.375,-0.4375,Small Green Steps
2636,-0.0625,0.3125,-0.1875,Ecoscience
2637,0.0625,-0.1875,-0.25,Other
2639,-0.25,-0.1875,0.0625,Ecospirituality
2640,-0.125,-0.1875,0.125,Ecospirituality
2641,-0.4375,0.375,0.1875,Ecoscience
2642,-0.375,-0.25,0.5,Earth Justice
2643,-0.1875,-0.375,0.125,Ecospirituality
2644,-0.1875,0.1875,0.0625,Ecoscience
2645,-0.0625,0,0.25,Earth Justice
2646,-0.8125,0.375,-0.375,Ecoscience
2647,0,-0.125,-0.375,Small Green Steps
2648,-0.375,0.125,0.6875,Earth Justice
2649,-0.3125,0.1875,0,Ecoscience
2650,0.125,0.4375,-0.125,Science for Humanity
2651,0.375,-0.625,-0.25,Indigenous Justice
2652,0.6875,-0.5625,-0.5,Other
2653,0.1875,-0.125,-0.0625,Other
2654,0,-0.5,-0.125,Ecospirituality
2655,-0.3125,-0.1875,-0.25,Small Green Steps
2656,0.25,0.3125,0.0625,Science for Humanity
2657,0.125,0.125,0.3125,Science Policy
2660,-0.4375,-0.125,-0.3125,Small Green Steps
2661,-0.125,-0.375,-0.1875,Ecospirituality
2663,-0.25,-0.5,0.75,Indigenous Justice
2666,-0.0625,0.0625,0.25,Earth Justice
2667,-0.0625,-0.375,0,Ecospirituality
2668,-0.25,-0.625,0.9375,Indigenous Justice
2669,-0.125,0.0625,0.5,Earth Justice
2670,-0.5,0.0625,-0.125,Small Green Steps
2672,-0.125,0,0.625,Earth Justice
2674,-0.25,-0.3125,-0.1875,Ecospirituality
2675,-0.25,0.125,0.5625,Earth Justice
2677,-0.625,-0.3125,0.4375,Earth Justice
2678,-0.1875,0.0625,0.1875,Earth Justice
2679,-0.25,0.125,0,Ecoscience
2681,0.3125,-0.3125,0.5,Indigenous Justice
2685,-0.125,0.0625,0.6875,Earth Justice
2686,0.125,-0.125,0.6875,Indigenous Justice
2687,-0.5625,-0.4375,0.875,Earth Justice
2688,-0.625,-0.125,0.25,Earth Justice
2690,-0.3125,-0.5,0.25,Ecospirituality
2691,-0.4375,-0.5,0.75,Indigenous Justice
2697,0,-0.375,0.125,Indigenous Justice
2698,-0.0625,0,-0.0625,Other
2699,0.125,0.125,0.9375,Science Policy
2700,-0.1875,-0.375,0.6875,Indigenous Justice
2701,-0.1875,-0.5625,0.4375,Indigenous Justice
2702,-0.375,0.125,0.125,Ecoscience
